,,,,,,,,,,,,,,,,,,,,Before Integration,,,,,,After Integration,,,,,,
Current MS Compounds,ESI Mode,Molecular Formula,CAS,Pathways,Expected RT,Peak Rating,Notes,,,Integration Notes,Gaussian smooth width (points):,Expected RT (min):,RT Half Window (sec):,Min. Peak Width (points):,Min. Peak Height:,Noise Percentage (%):,Baseline Sub. Window (min):,Peak Splitting (points):,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,
Trimethylamine (TMA),POS,C3H9N,75-50-3,Methane metabolism; Microbial metabolism; Carbon metabolism,5.35,Good,Rarely seen in some tissue samples. Peak is to the left of the dual peaks seen in QC(I).,,,"Simple peak, tighten integration so noisy baseline is not included",2.5,5.18,30,3,8.00E+04,50,0.25,1,,Shoulder,Stable,Co-eluting,None,Choose left peak,,Clean,Stable,None,None,Choose left peak,,
Ethanolamine,POS,C2H7NO,141-43-5,Glycerophospholipid metabolism; Retrograde endocannabinoid signaling,7.30,Great,Tall thin peak. Seen in most samples and in QC(I),,,"Thin peak, exclude small attached peak that appears to the right",2,7.5,30,3,1000,50,0.5,1,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Aminoacetone,POS,C3H7NO,298-08-8,"Glycine, serine, threonine metabolism",4.00,Okay,Seen in some tissue samples.Can seem a bit noisy,#VALUE!,#VALUE!,"Very noisy, no peaks integrated",1.7,4.5,30,3,5000,50,0.5,1,,,Noisy,Co-eluting,,Reject,,,Noisy,Co-eluting,,Reject,,
1-Methylguanidine,POS,C2H7N3,471-29-4,N/A,5.45,Good,Tall thin peak seen in some tissue samples,#VALUE!,#VALUE!,"Very noisy, no peaks integrated",1.7,5.72,30,3,5000,50,0.5,1,,,Noisy,Co-eluting,,Reject,,,Noisy,Co-eluting,,Reject,,
Glycine,POS,C2H5NO2,56-40-6,"Primary bile acid biosynthesis; Purine metabolism; Glycine, serine, threonine metabolism",8.25,Great,Simple peak seen in QC(I),,,"Simple peak, no manual integration necessary",2,8.38,30,3,5000,50,0.25,1,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Trimethylamine-N-Oxide (TMAO),POS,C3H9NO,1184-78-7,Methane metabolism; Microbial metabolism; Two-component system,7.60,Good,Simple peak seen in QC(I),,,"Simple peak, no manual integration necessary",1.7,7.81,30,3,5000,50,0.25,1,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
3C13-Glycine,POS,,,,,,,,,"Simple thin peak, tighten integration so tail is not included",1.7,8.38,30,3,5000,50,0.1,1,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Putrescine,POS,C4H12N2,110-60-1,"Arginine, proline metabolism; D-Arginine, D-ornithine metabolism; Glutathione metabolism",9.10,Okay,Sometimes seen in tissue samples. *Might appear in samples if water is contaminated. Make sure to check prep-blank*,#VALUE!,#VALUE!,"Not integrated, not usually seen in samples",1.7,9.1,30,3,5000,50,0.5,9,,,Noisy,,,,,,Noisy,,,,,
betaAlanine,POS,C3H7NO2,107-95-9,"Pyrimidine metabolism; beta-Alanine metabolism; Propanoate metabolism; Pantothenate, CoA biosynthesis",8.20,Okay,Simple peak seen in QC(I). Can be a bit noisy,,,"Simple peak, exclude small attached peak to the right when present",1.7,8.35,30,3,5000,50,0.1,1,,Tailing,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,"Mark 1st sample as N/A, low peak"
Alanine,POS,C3H7NO2,56-41-7,"Alanine, aspartate, glutamate metabolism; Cysteine, methionine metabolism; Taurine, hypotaurine metabolism",8.00,Great,Simple peak seen in QC(I),,,"Simple peak, exclude tails on both sides when integrating",1.7,8.21,30,3,5000,50,0.1,1,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
